Warehouse_block,Warehouse_city,Mode_of_Shipment,Name of charged warehouse's employee,LOADING_DATE,DELIVERED_TO_WAREHOUSE_DATE
Warehouse C,Boston,Ship,Spencer Simpson,06/04/2021,04/05/2021
Warehouse B,San Jose,Ship,Meredith Parks,10/04/2021,08/05/2021
Warehouse D,New York,Ship,Malik Fleming,03/04/2021,01/05/2021
Warehouse B,San Jose,Ship,Taylor Romero,30/12/2020,27/01/2021
Warehouse A,Birmingham,Ship,Colby Rodriguez,28/04/2021,26/05/2021
Warehouse B,San Jose,Ship,Jan Blankenship,27/09/2020,25/10/2020
Warehouse C,Boston,Ship,Phoenix James,04/02/2021,04/03/2021
Warehouse B,San Jose,Ship,Courtney Mays,28/02/2021,28/03/2021
Warehouse D,New York,Ship,Darcey Hurst,26/02/2021,26/03/2021
Warehouse B,San Jose,Ship,Sion Doherty,09/03/2021,06/04/2021
Warehouse A,Birmingham,Ship,Jayden Franklin,06/05/2021,03/06/2021
Warehouse B,San Jose,Ship,Kacie Trujillo,03/04/2021,01/05/2021
Warehouse C,Boston,Ship,Kelly Mccann,13/04/2021,11/05/2021
Warehouse B,San Jose,Ship,Ellis Kaufman,16/02/2021,16/03/2021
Warehouse D,New York,Ship,Nevaeh Gilmore,24/04/2021,22/05/2021
Warehouse B,San Jose,Ship,Leslie Blackburn,03/03/2021,31/03/2021
Warehouse A,Birmingham,Ship,Hayden Oliver,17/04/2021,15/05/2021
Warehouse B,San Jose,Ship,Tyler Bruce,24/02/2021,24/03/2021
Warehouse C,Boston,Ship,Hope Horn,14/04/2021,12/05/2021
Warehouse B,San Jose,Ship,Rio Hamilton,02/05/2021,30/05/2021
Warehouse D,New York,Ship,Jose Stevenson,27/04/2021,25/05/2021
Warehouse B,San Jose,Ship,Bryn Sherman,04/05/2021,01/06/2021
Warehouse A,Birmingham,Ship,Seren Wiley,09/04/2021,07/05/2021
Warehouse B,San Jose,Ship,Gabriel Winter,30/05/2021,27/06/2021
Warehouse C,Boston,Ship,Rowan Hayes,28/02/2021,28/03/2021
Warehouse B,San Jose,Ship,Alexis Rojas,23/02/2021,23/03/2021
Warehouse D,New York,Ship,Stella Jacobson,25/04/2021,23/05/2021
Warehouse B,San Jose,Ship,Remi Levine,17/11/2019,15/12/2019
Warehouse A,Birmingham,Ship,Darcy Perkins,23/01/2021,20/02/2021
Warehouse B,San Jose,Ship,Harmony Copeland,11/03/2021,08/04/2021
Warehouse C,Boston,Ship,Evangeline Reynolds,20/03/2021,17/04/2021
Warehouse B,San Jose,Ship,Madison Meadows,27/07/2019,24/08/2019
Warehouse D,New York,Ship,Jenna Castro,22/01/2021,19/02/2021
Warehouse B,San Jose,Ship,Alfie Shields,08/04/2021,06/05/2021
Warehouse A,Birmingham,Ship,Sam Osborne,10/02/2021,10/03/2021
Warehouse B,San Jose,Ship,Kane Doyle,24/03/2018,21/04/2018
Warehouse C,Boston,Ship,Ada Gordon,25/04/2021,23/05/2021
Warehouse B,San Jose,Ship,Elijah Heath,22/12/2020,19/01/2021
Warehouse D,New York,Ship,Ines Higgins,07/04/2021,05/05/2021
Warehouse B,San Jose,Ship,Everly Montoya,14/03/2021,11/04/2021
Warehouse A,Birmingham,Ship,Kian Burke,04/04/2021,02/05/2021
Warehouse B,San Jose,Ship,Saba Dickerson,11/02/2021,11/03/2021
Warehouse C,Boston,Ship,Sidney Baxter,12/02/2021,12/03/2021
Warehouse B,San Jose,Ship,Tegan Ibarra,04/08/2019,01/09/2019
Warehouse D,New York,Ship,Eden Mclean,29/10/2020,26/11/2020
Warehouse B,San Jose,Ship,Charley Short,19/04/2021,17/05/2021
Warehouse A,Birmingham,Ship,Ebony Pineda,20/04/2021,18/05/2021
Warehouse B,San Jose,Ship,Wyatt Michael,25/07/2021,22/08/2021
Warehouse C,Boston,Ship,Marion Blair,17/04/2021,15/05/2021
Warehouse B,San Jose,Ship,Shelby Roach,24/03/2021,21/04/2021
Warehouse D,New York,Ship,Jerry Mueller,05/02/2021,05/03/2021
Warehouse B,San Jose,Ship,Corey Cline,25/04/2021,23/05/2021
Warehouse A,Birmingham,Ship,Rio Morrow,10/04/2021,08/05/2021
Warehouse B,San Jose,Ship,Jaden Watson,19/05/2019,16/06/2019
Warehouse C,Boston,Ship,Lenny Page,06/01/2021,03/02/2021
Warehouse B,San Jose,Ship,Ellis Burnett,06/02/2020,05/03/2020
Warehouse D,New York,Ship,Maddison Ferrell,28/05/2020,25/06/2020
Warehouse B,San Jose,Ship,Dylan Briggs,28/05/2021,25/06/2021
Warehouse A,Birmingham,Ship,Vivian Wade,25/04/2021,23/05/2021
Warehouse B,San Jose,Ship,Neo Welsh,24/07/2021,21/08/2021
Warehouse C,Boston,Ship,Sydney Miranda,07/05/2021,04/06/2021
Warehouse B,San Jose,Ship,Malik Rose,22/06/2021,20/07/2021
Warehouse D,New York,Ship,Eliza Blaese,20/08/2021,17/09/2021
Warehouse B,San Jose,Road,Stevie Long,27/08/2020,24/09/2020
Warehouse A,Birmingham,Road,Jay Bowen,27/04/2021,25/05/2021
Warehouse B,San Jose,Road,Claire Wilkinson,08/05/2021,05/06/2021
Warehouse C,Boston,Road,Julia Jefferson,11/10/2019,08/11/2019
Warehouse B,San Jose,Road,Stella Herrera,25/03/2021,22/04/2021
Warehouse D,New York,Road,Esme Sandoval,12/04/2021,10/05/2021
Warehouse B,San Jose,Road,Casey Park,15/03/2021,12/04/2021
Warehouse A,Birmingham,Road,Francis Riggs,01/04/2021,29/04/2021
Warehouse B,San Jose,Road,Meredith Buckley,20/01/2021,17/02/2021
Warehouse C,Boston,Road,Mason Cain,10/04/2021,08/05/2021
Warehouse B,San Jose,Road,Kristen Carter,05/11/2020,03/12/2020
Warehouse D,New York,Road,Jade Powell,23/03/2021,20/04/2021
Warehouse B,San Jose,Road,Cian Escobar,20/06/2020,18/07/2020
Warehouse A,Birmingham,Road,Sian Mann,13/06/2021,11/07/2021
Warehouse B,San Jose,Road,Brooke York,15/04/2020,13/05/2020
Warehouse C,Boston,Road,Bryn Mills,27/05/2021,24/06/2021
Warehouse B,San Jose,Road,Kira Garcia,17/03/2021,14/04/2021
Warehouse D,New York,Road,Jan Garrett,16/05/2021,13/06/2021
Warehouse B,San Jose,Road,Jean Callahan,26/04/2021,24/05/2021
Warehouse A,Birmingham,Road,Rayhan Nixon,07/06/2021,05/07/2021
Warehouse B,San Jose,Road,Ines Pittman,05/10/2020,02/11/2020
Warehouse C,Boston,Road,Mackenzie Carroll,16/02/2021,16/03/2021
Warehouse B,San Jose,Air,Dale Wall,01/02/2021,01/03/2021
Warehouse D,New York,Air,Marley Solis,11/04/2021,09/05/2021
Warehouse B,San Jose,Air,Saba Howell,26/03/2021,23/04/2021
Warehouse A,Birmingham,Air,Evan Patel,27/03/2021,24/04/2021
Warehouse B,San Jose,Air,Mattie Shaffer,04/04/2021,02/05/2021
Warehouse C,Boston,Air,Tyrese Dean,13/04/2021,11/05/2021
Warehouse B,San Jose,Air,Elena Vance,04/04/2021,02/05/2021
Warehouse D,New York,Air,Troy Rush,01/04/2021,29/04/2021
Warehouse B,San Jose,Air,Cruz Fowler,24/08/2019,21/09/2019
Warehouse A,Birmingham,Air,Ebony Odom,06/03/2021,03/04/2021
Warehouse B,San Jose,Air,Colby Steele,13/02/2021,13/03/2021
Warehouse C,Boston,Air,Jaya Boyle,29/05/2019,26/06/2019
Warehouse B,San Jose,Air,Ray Francis,04/04/2021,02/05/2021
Warehouse D,New York,Air,Aidan Peters,14/03/2021,11/04/2021
Warehouse B,San Jose,Air,Robin Hess,13/12/2020,10/01/2021
Warehouse A,Birmingham,Air,Aoife Santos,11/04/2020,09/05/2020
Warehouse B,San Jose,Air,Ali Newman,25/03/2021,22/04/2021
Warehouse C,Boston,Air,Marissa Medina,07/02/2021,07/03/2021
Warehouse B,San Jose,Air,Andrea Barry,13/01/2021,10/02/2021
Warehouse D,New York,Air,Georgie Espinoza,14/01/2021,11/02/2021
Warehouse B,San Jose,Air,Freddie Carpenter,16/07/2021,13/08/2021
Warehouse A,Birmingham,Air,Sienna Flynn,24/06/2020,22/07/2020
Warehouse B,San Jose,Ship,Anika Gill,10/10/2019,07/11/2019
Warehouse C,Boston,Ship,Rebekah Gilbert,09/11/2019,07/12/2019
Warehouse B,San Jose,Ship,Kyan Robertson,26/07/2020,23/08/2020
Warehouse D,New York,Ship,Harri Oconnor,05/02/2020,04/03/2020
Warehouse B,San Jose,Ship,Leighton Joyce,19/03/2021,16/04/2021
Warehouse A,Birmingham,Ship,Pearl Lawrence,17/02/2021,17/03/2021
Warehouse B,San Jose,Ship,Cory Kim,25/04/2021,23/05/2021
Warehouse C,Boston,Ship,Spencer Randolph,12/02/2021,12/03/2021
Warehouse B,San Jose,Ship,Juliet Bush,08/04/2021,06/05/2021
Warehouse D,New York,Ship,Kelly Blackburn,07/01/2021,04/02/2021
Warehouse B,San Jose,Ship,Siobhan Cotton,19/04/2021,17/05/2021
Warehouse A,Birmingham,Ship,Dana Parsons,07/04/2021,05/05/2021
Warehouse B,San Jose,Ship,Jude Bray,09/04/2021,07/05/2021
Warehouse C,Boston,Ship,Zain Lyons,26/10/2018,23/11/2018
Warehouse B,San Jose,Ship,Jaime Bentley,19/03/2021,16/04/2021
Warehouse D,New York,Ship,Devon Orr,08/03/2021,05/04/2021
Warehouse B,San Jose,Ship,Lennox Willis,21/02/2021,21/03/2021
Warehouse A,Birmingham,Ship,Wade Sullivan,27/06/2021,25/07/2021
Warehouse B,San Jose,Ship,Erica Cervantes,15/03/2021,12/04/2021
Warehouse C,Boston,Ship,Lee Pearson,19/03/2021,16/04/2021
Warehouse B,San Jose,Ship,Ollie Reese,20/03/2021,17/04/2021
Warehouse D,New York,Ship,Cameron Shields,10/02/2021,10/03/2021
Warehouse B,San Jose,Ship,Louie Mccarthy,17/02/2021,17/03/2021
Warehouse A,Birmingham,Ship,Harley Mason,30/12/2020,27/01/2021
Warehouse B,San Jose,Ship,Katrina Clayton,31/12/2020,28/01/2021
Warehouse C,Boston,Ship,Sana Mckee,23/03/2021,20/04/2021
Warehouse B,San Jose,Ship,Kobi Caldwell,28/01/2021,25/02/2021
Warehouse D,New York,Ship,Safa Hodges,04/06/2020,02/07/2020
Warehouse B,San Jose,Ship,Nana Dickson,09/02/2021,09/03/2021
Warehouse A,Birmingham,Ship,Oakley Sanford,06/03/2021,03/04/2021
Warehouse B,San Jose,Ship,Robbie Salinas,27/03/2019,24/04/2019
Warehouse C,Boston,Ship,Lachlan Dawson,12/06/2021,10/07/2021
Warehouse B,San Jose,Ship,Dante Gutierrez,13/03/2021,10/04/2021
Warehouse D,New York,Ship,Virginia Moses,08/06/2021,06/07/2021
Warehouse B,San Jose,Ship,Ashleigh Graves,09/02/2019,09/03/2019
Warehouse A,Birmingham,Ship,Courtney Klein,29/04/2019,27/05/2019
Warehouse B,San Jose,Ship,Mae Davis,18/04/2021,16/05/2021
Warehouse C,Boston,Ship,Aiden Terry,07/06/2021,05/07/2021
Warehouse B,San Jose,Ship,Alexis Dunlap,01/08/2021,29/08/2021
Warehouse D,New York,Ship,Levi Collins,10/08/2019,07/09/2019
Warehouse B,San Jose,Ship,Kian Odling,15/07/2021,12/08/2021
Warehouse A,Birmingham,Ship,Faith Meadows,03/01/2021,31/01/2021
Warehouse B,San Jose,Ship,Willie Richard,04/04/2021,02/05/2021
Warehouse C,Boston,Ship,Cordelia Holmes,05/08/2021,02/09/2021
Warehouse B,San Jose,Ship,Francis Riddle,30/06/2021,28/07/2021
Warehouse D,New York,Ship,Jesse Hanna,23/02/2021,23/03/2021
Warehouse B,San Jose,Ship,Ronnie Kirk,03/04/2021,01/05/2021
Warehouse A,Birmingham,Ship,Phoenix Haines,09/05/2021,06/06/2021
Warehouse B,San Jose,Ship,Willie Burton,31/08/2021,28/09/2021
Warehouse C,Boston,Ship,Haydn Mccarthy,13/04/2021,11/05/2021
Warehouse B,San Jose,Ship,Tatiana Mcdonald,31/03/2021,28/04/2021
Warehouse D,New York,Ship,Gabriel Holland,28/03/2021,25/04/2021
Warehouse B,San Jose,Ship,Saba Bonner,28/03/2021,25/04/2021
Warehouse A,Birmingham,Ship,Stella Jarvis,16/03/2020,13/04/2020
Warehouse B,San Jose,Ship,Armaan Mann,29/04/2021,27/05/2021
Warehouse C,Boston,Ship,Joel Gibbs,10/07/2019,07/08/2019
Warehouse B,San Jose,Ship,Angel Daugherty,06/05/2021,03/06/2021
Warehouse D,New York,Ship,Jordan Fischer,02/11/2019,30/11/2019
Warehouse B,San Jose,Ship,Darcy Doherty,28/03/2021,25/04/2021
Warehouse A,Birmingham,Ship,Jay Chan,09/04/2021,07/05/2021
Warehouse B,San Jose,Ship,Kira Huffman,24/06/2021,22/07/2021
Warehouse C,Boston,Ship,Kaden Bray,05/04/2021,03/05/2021
Warehouse B,San Jose,Ship,Seren Carroll,28/03/2021,25/04/2021
Warehouse D,New York,Ship,Frances Webb,23/03/2021,20/04/2021
Warehouse B,San Jose,Ship,Mason Odonnell,25/03/2021,22/04/2021
Warehouse A,Birmingham,Ship,Evangeline Baker,31/03/2021,28/04/2021
Warehouse B,San Jose,Ship,Wade Schwartz,01/02/2021,01/03/2021
Warehouse C,Boston,Ship,Eliza O'Connor,21/04/2021,19/05/2021
Warehouse B,San Jose,Ship,Morgan Sharpe,19/03/2021,16/04/2021
Warehouse D,New York,Ship,Anita Everett,26/08/2021,23/09/2021
Warehouse B,San Jose,Ship,Evan Abbott,04/10/2020,01/11/2020
Warehouse A,Birmingham,Ship,Kade Tapia,20/03/2021,17/04/2021
Warehouse B,San Jose,Ship,Kian Alvarez,12/02/2021,12/03/2021
Warehouse C,Boston,Ship,Jenna Hartman,12/04/2021,10/05/2021
Warehouse B,San Jose,Ship,Jaden Mayer,19/03/2021,16/04/2021
Warehouse D,New York,Ship,Rebekah Bradford,10/03/2021,07/04/2021
Warehouse B,San Jose,Ship,Casey Grant,27/02/2021,27/03/2021
Warehouse A,Birmingham,Ship,Hope Tanner,03/04/2021,01/05/2021
Warehouse B,San Jose,Ship,Sami Goodman,18/04/2019,16/05/2019
Warehouse C,Boston,Ship,Cleo Mckenzie,21/04/2021,19/05/2021
Warehouse B,San Jose,Ship,Tyrell Wells,27/03/2021,24/04/2021
Warehouse D,New York,Ship,Cade Crosby,27/04/2021,25/05/2021
Warehouse B,San Jose,Ship,Harley Ball,30/03/2021,27/04/2021
Warehouse A,Birmingham,Ship,Elijah Schultz,15/06/2019,13/07/2019
Warehouse B,San Jose,Ship,Sienna Rush,25/03/2021,22/04/2021
Warehouse C,Boston,Ship,Ciaran Flores,26/07/2021,23/08/2021
Warehouse B,San Jose,Ship,Nicola Joyce,07/05/2020,04/06/2020
Warehouse D,New York,Ship,Siobhan Daniels,11/02/2021,11/03/2021
Warehouse B,San Jose,Ship,Jorge Suarez,27/02/2021,27/03/2021
Warehouse A,Birmingham,Ship,Jade Ayala,02/02/2021,02/03/2021
Warehouse B,San Jose,Ship,Elena Campbell,25/03/2021,22/04/2021
Warehouse C,Boston,Ship,Adrian Gillespie,25/04/2021,23/05/2021
Warehouse B,San Jose,Ship,Cruz Orozco,04/05/2021,01/06/2021
Warehouse D,New York,Road,Brooke Garrett,05/04/2021,03/05/2021
Warehouse B,San Jose,Road,Meredith Middleton,12/04/2021,10/05/2021
Warehouse A,Birmingham,Road,Sam Hebert,08/09/2021,06/10/2021
Warehouse B,San Jose,Road,Flynn Velasquez,05/02/2021,05/03/2021
Warehouse C,Boston,Road,Sion Hayes,28/03/2021,25/04/2021
Warehouse B,San Jose,Road,Kelsey Flynn,16/03/2021,13/04/2021
Warehouse D,New York,Road,Brooklyn Aguirre,11/05/2021,08/06/2021
Warehouse B,San Jose,Road,Katerina Zamora,16/04/2020,14/05/2020
Warehouse A,Birmingham,Road,Brogan Powers,31/03/2021,28/04/2021
Warehouse B,San Jose,Road,Cameron Hoover,24/08/2021,21/09/2021
Warehouse C,Boston,Road,Safa Porter,19/03/2021,16/04/2021
Warehouse B,San Jose,Road,Vivian Jordan,26/05/2019,23/06/2019
Warehouse D,New York,Road,Cody Randolph,20/03/2021,17/04/2021
Warehouse B,San Jose,Road,Ashleigh Roberts,06/03/2021,03/04/2021
Warehouse A,Birmingham,Road,Tyrese Spencer,06/10/2018,03/11/2018
Warehouse B,San Jose,Road,Rohan Fisher,03/04/2021,01/05/2021
Warehouse C,Boston,Road,Nora Lawrence,23/02/2021,23/03/2021
Warehouse B,San Jose,Road,Lachlan Guerrero,05/05/2021,02/06/2021
Warehouse D,New York,Road,Callan Little,03/04/2020,01/05/2020
Warehouse B,San Jose,Road,Pearl Clark,03/11/2020,01/12/2020
Warehouse A,Birmingham,Road,Felix Gomez,19/03/2021,16/04/2021
Warehouse B,San Jose,Road,Ty Norman,04/03/2021,01/04/2021
Warehouse C,Boston,Air,Carter Parsons,13/02/2021,13/03/2021
Warehouse B,San Jose,Air,Harmony Rasmussen,27/03/2021,24/04/2021
Warehouse D,New York,Air,Taylor Pratt,27/04/2021,25/05/2021
Warehouse B,San Jose,Air,Jamie Paul,17/01/2021,14/02/2021
Warehouse A,Birmingham,Air,Elisha Shelton,09/02/2021,09/03/2021
Warehouse B,San Jose,Air,Tyler Vargas,29/03/2021,26/04/2021
Warehouse C,Boston,Air,Regan England,08/01/2021,05/02/2021
Warehouse B,San Jose,Air,Benedict Reilly,17/02/2021,17/03/2021
Warehouse D,New York,Air,Hayden Dalton,26/03/2021,23/04/2021
Warehouse B,San Jose,Air,Nate Rich,30/05/2021,27/06/2021
Warehouse A,Birmingham,Air,Ada Patterson,02/05/2021,30/05/2021
Warehouse B,San Jose,Air,Lyndon Petty,08/01/2021,05/02/2021
Warehouse C,Boston,Air,Claudia Riggs,21/08/2021,18/09/2021
Warehouse B,San Jose,Air,Sian Knight,04/04/2021,02/05/2021
Warehouse D,New York,Air,Jaydon Sosa,08/04/2021,06/05/2021
Warehouse B,San Jose,Air,Logan Woodard,11/04/2021,09/05/2021
Warehouse A,Birmingham,Air,Anika Barlow,19/07/2021,16/08/2021
Warehouse B,San Jose,Air,Courtney Hilton,27/04/2021,25/05/2021
Warehouse C,Boston,Air,Robbie Thornton,10/02/2021,10/03/2021
Warehouse B,San Jose,Air,Mae Hall,04/04/2021,02/05/2021
Warehouse D,New York,Air,Shannon Best,03/01/2019,31/01/2019
Warehouse B,San Jose,Air,Raja Nunez,21/04/2021,19/05/2021
Warehouse A,Birmingham,Ship,Cian Merrill,04/03/2021,01/04/2021
Warehouse B,San Jose,Ship,Keeley Singh,21/03/2021,18/04/2021
Warehouse C,Boston,Ship,Harris Browning,09/11/2019,07/12/2019
Warehouse B,San Jose,Ship,Jean Jennings,14/03/2021,11/04/2021
Warehouse D,New York,Ship,Nana Perry,04/04/2021,02/05/2021
Warehouse B,San Jose,Ship,Abby Graham,17/01/2021,14/02/2021
Warehouse A,Birmingham,Ship,Cordelia Holmes,31/01/2021,28/02/2021
Warehouse B,San Jose,Ship,Francis Riddle,17/03/2021,14/04/2021
Warehouse C,Boston,Ship,Jesse Hanna,16/03/2021,13/04/2021
Warehouse B,San Jose,Ship,Ronnie Kirk,20/03/2021,17/04/2021
Warehouse D,New York,Ship,Phoenix Haines,27/03/2021,24/04/2021
Warehouse B,San Jose,Ship,Willie Burton,26/04/2021,24/05/2021
Warehouse A,Birmingham,Ship,Haydn Mccarthy,04/12/2020,01/01/2021
Warehouse B,San Jose,Ship,Tatiana Mcdonald,04/04/2021,02/05/2021
Warehouse C,Boston,Ship,Gabriel Holland,05/04/2021,03/05/2021
Warehouse B,San Jose,Ship,Saba Bonner,04/04/2021,02/05/2021
Warehouse D,New York,Ship,Stella Jarvis,05/06/2021,03/07/2021
Warehouse B,San Jose,Ship,Armaan Mann,28/03/2021,25/04/2021
Warehouse A,Birmingham,Ship,Joel Gibbs,13/02/2021,13/03/2021
Warehouse B,San Jose,Ship,Angel Daugherty,14/02/2021,14/03/2021
Warehouse C,Boston,Ship,Jordan Fischer,21/02/2021,21/03/2021
Warehouse B,San Jose,Ship,Darcy Doherty,22/02/2021,22/03/2021
Warehouse D,New York,Ship,Jay Chan,29/10/2020,26/11/2020
Warehouse B,San Jose,Ship,Kira Huffman,10/11/2019,08/12/2019
Warehouse A,Birmingham,Ship,Kaden Bray,14/04/2021,12/05/2021
Warehouse B,San Jose,Ship,Seren Carroll,26/03/2021,23/04/2021
Warehouse C,Boston,Ship,Frances Webb,15/04/2021,13/05/2021
Warehouse B,San Jose,Ship,Mason Odonnell,15/04/2021,13/05/2021
Warehouse D,New York,Ship,Evangeline Baker,13/03/2021,10/04/2021
Warehouse B,San Jose,Ship,Wade Schwartz,02/01/2021,30/01/2021
Warehouse A,Birmingham,Ship,Eliza O'Connor,06/11/2019,04/12/2019
Warehouse B,San Jose,Ship,Morgan Sharpe,13/04/2021,11/05/2021
Warehouse C,Boston,Ship,Anita Everett,20/03/2021,17/04/2021
Warehouse B,San Jose,Ship,Evan Abbott,01/04/2021,29/04/2021
Warehouse D,New York,Ship,Kade Tapia,30/11/2019,28/12/2019
Warehouse B,San Jose,Ship,Kian Alvarez,04/04/2021,02/05/2021
Warehouse A,Birmingham,Ship,Jenna Hartman,05/05/2019,02/06/2019
Warehouse B,San Jose,Ship,Jaden Mayer,04/04/2021,02/05/2021
Warehouse C,Boston,Ship,Rebekah Bradford,11/04/2021,09/05/2021
Warehouse B,San Jose,Ship,Casey Grant,20/01/2021,17/02/2021
Warehouse D,New York,Ship,Hope Tanner,12/04/2021,10/05/2021
Warehouse B,San Jose,Ship,Sami Goodman,24/08/2020,21/09/2020
Warehouse A,Birmingham,Ship,Cleo Mckenzie,18/04/2020,16/05/2020
Warehouse B,San Jose,Ship,Tyrell Wells,09/04/2021,07/05/2021
Warehouse C,Boston,Ship,Cade Crosby,09/05/2021,06/06/2021
Warehouse B,San Jose,Ship,Harley Ball,08/01/2021,05/02/2021
Warehouse D,New York,Ship,Elijah Schultz,05/08/2021,02/09/2021
Warehouse B,San Jose,Ship,Sienna Rush,04/04/2021,02/05/2021
Warehouse A,Birmingham,Ship,Ciaran Flores,06/04/2021,04/05/2021
Warehouse B,San Jose,Ship,Nicola Joyce,26/04/2021,24/05/2021
Warehouse C,Boston,Ship,Siobhan Daniels,12/03/2021,09/04/2021
Warehouse B,San Jose,Ship,Jorge Suarez,16/02/2021,16/03/2021
Warehouse D,New York,Ship,Jade Ayala,22/11/2020,20/12/2020
Warehouse B,San Jose,Ship,Elena Campbell,31/03/2021,28/04/2021
Warehouse A,Birmingham,Ship,Adrian Gillespie,01/04/2021,29/04/2021
Warehouse B,San Jose,Ship,Cruz Orozco,08/04/2021,06/05/2021
Warehouse C,Boston,Ship,Brooke Garrett,06/02/2021,06/03/2021
Warehouse B,San Jose,Ship,Meredith Middleton,08/05/2021,05/06/2021
Warehouse D,New York,Ship,Sam Hebert,13/05/2021,10/06/2021
Warehouse B,San Jose,Ship,Flynn Velasquez,14/05/2021,11/06/2021
Warehouse A,Birmingham,Ship,Sion Hayes,14/05/2021,11/06/2021
Warehouse B,San Jose,Ship,Kelsey Flynn,17/04/2021,15/05/2021
Warehouse C,Boston,Ship,Brooklyn Aguirre,30/05/2021,27/06/2021
Warehouse B,San Jose,Ship,Katerina Zamora,02/07/2021,30/07/2021
Warehouse D,New York,Ship,Brogan Powers,18/05/2021,15/06/2021
Warehouse B,San Jose,Ship,Cameron Hoover,27/06/2021,25/07/2021
Warehouse A,Birmingham,Ship,Safa Porter,05/04/2021,03/05/2021
Warehouse B,San Jose,Ship,Vivian Jordan,09/01/2021,06/02/2021
Warehouse C,Boston,Ship,Cody Randolph,11/04/2021,09/05/2021
Warehouse B,San Jose,Ship,Ashleigh Roberts,15/04/2021,13/05/2021
Warehouse D,New York,Ship,Tyrese Spencer,16/04/2021,14/05/2021
Warehouse B,San Jose,Ship,Rohan Fisher,09/05/2021,06/06/2021
Warehouse A,Birmingham,Ship,Nora Lawrence,09/06/2021,07/07/2021
Warehouse B,San Jose,Ship,Lachlan Guerrero,10/04/2021,08/05/2021
Warehouse C,Boston,Ship,Callan Little,16/04/2021,14/05/2021
Warehouse B,San Jose,Ship,Pearl Clark,18/02/2021,18/03/2021
Warehouse D,New York,Ship,Felix Gomez,25/05/2021,22/06/2021
Warehouse B,San Jose,Ship,Ty Norman,02/08/2021,30/08/2021
Warehouse A,Birmingham,Ship,Carter Parsons,23/11/2020,21/12/2020
Warehouse B,San Jose,Ship,Harmony Rasmussen,17/05/2021,14/06/2021
Warehouse C,Boston,Ship,Taylor Pratt,23/05/2021,20/06/2021
Warehouse B,San Jose,Ship,Jamie Paul,17/04/2021,15/05/2021
Warehouse D,New York,Ship,Elisha Shelton,24/05/2021,21/06/2021
Warehouse B,San Jose,Ship,Tyler Vargas,22/04/2021,20/05/2021
Warehouse A,Birmingham,Ship,Regan England,23/04/2021,21/05/2021
Warehouse B,San Jose,Ship,Benedict Reilly,24/04/2021,22/05/2021
Warehouse C,Boston,Ship,Hayden Dalton,06/05/2021,03/06/2021
Warehouse B,San Jose,Ship,Nate Rich,08/02/2021,08/03/2021
Warehouse D,New York,Ship,Ada Patterson,25/06/2021,23/07/2021
Warehouse B,San Jose,Ship,Lyndon Petty,16/05/2021,13/06/2021
Warehouse A,Birmingham,Ship,Claudia Riggs,09/04/2021,07/05/2021
Warehouse B,San Jose,Ship,Sian Knight,10/04/2021,08/05/2021
Warehouse C,Boston,Ship,Jaydon Sosa,05/05/2021,02/06/2021
Warehouse B,San Jose,Road,Logan Woodard,05/07/2021,02/08/2021
Warehouse D,New York,Road,Anika Barlow,26/04/2021,24/05/2021
Warehouse B,San Jose,Road,Courtney Hilton,09/04/2021,07/05/2021
Warehouse A,Birmingham,Road,Robbie Thornton,07/06/2019,05/07/2019
Warehouse B,San Jose,Road,Mae Hall,26/07/2021,23/08/2021
Warehouse C,Boston,Road,Shannon Best,21/08/2021,18/09/2021
Warehouse B,San Jose,Road,Raja Nunez,16/12/2020,13/01/2021
Warehouse D,New York,Road,Cian Merrill,17/04/2021,15/05/2021
Warehouse B,San Jose,Road,Keeley Singh,15/05/2021,12/06/2021
Warehouse A,Birmingham,Road,Harris Browning,30/08/2021,27/09/2021
Warehouse B,San Jose,Road,Jean Jennings,11/04/2021,09/05/2021
Warehouse C,Boston,Road,Nana Perry,14/06/2021,12/07/2021
Warehouse B,San Jose,Road,Abby Graham,27/05/2021,24/06/2021
Warehouse D,New York,Road,Carys Mathis,16/05/2021,13/06/2021
Warehouse B,San Jose,Road,Martina Weaver,03/05/2021,31/05/2021
Warehouse A,Birmingham,Road,Bethan Chen,11/07/2021,08/08/2021
Warehouse B,San Jose,Road,Taya Collins,04/07/2021,01/08/2021
Warehouse C,Boston,Road,India Curtis,02/05/2021,30/05/2021
Warehouse B,San Jose,Road,Conrad Dyer,30/07/2021,27/08/2021
Warehouse D,New York,Road,Shauna Brennan,27/04/2021,25/05/2021
Warehouse B,San Jose,Road,Meredith Vance,28/04/2021,26/05/2021
Warehouse A,Birmingham,Road,Elias Luna,04/07/2021,01/08/2021
Warehouse B,San Jose,Air,Dan Callahan,28/06/2021,26/07/2021
Warehouse C,Boston,Air,Ruby Blake,16/05/2021,13/06/2021
Warehouse B,San Jose,Air,Kayne Chang,04/07/2021,01/08/2021
Warehouse D,New York,Air,Fay Koch,03/05/2021,31/05/2021
Warehouse B,San Jose,Air,Owais Lang,19/05/2021,16/06/2021
Warehouse A,Birmingham,Air,Thalia Clayton,20/05/2021,17/06/2021
Warehouse B,San Jose,Air,Sian Jenkins,05/05/2021,02/06/2021
Warehouse C,Boston,Air,Nathan Goodwin,24/07/2021,21/08/2021
Warehouse B,San Jose,Air,Rose Mcdowell,27/05/2021,24/06/2021
